date,ticker,returns,weights
2012-01-03,SPY,0.008959,2.7755576e-17
2012-01-04,SPY,0.001361,0.0
2012-01-05,SPY,0.001786,0.0
2012-01-06,SPY,0.00429,4.1179185e-18
2012-01-09,SPY,0.003796,0.0
2012-01-10,SPY,-0.002243,0.0
2012-01-11,SPY,0.001445,1.3422854e-18
2012-01-12,SPY,0.005292,0.0
2012-01-13,SPY,-0.001316,2.7755576e-17
2012-01-17,SPY,-0.005519,7.9102405e-18
2012-01-18,SPY,-0.002323,0.0
2012-01-19,SPY,0.006985,0.0
2012-01-20,SPY,-0.008549,0.0
2012-01-23,SPY,0.00804,5.485677e-19
2012-01-24,SPY,-0.004177,0.0
2012-01-25,SPY,0.008003,5.544062e-18
2012-01-26,SPY,0.0,0.0
2012-01-27,SPY,0.003073,0.0
2012-01-30,SPY,-0.003957,0.06737796
2012-01-31,SPY,0.004934,0.0
2012-02-01,SPY,-0.010139,0.0
2012-02-02,SPY,0.004059,0.0
2012-02-03,SPY,-0.004504,1.3877788e-17
2012-02-06,SPY,0.00678,5.551115e-17
2012-02-07,SPY,0.003457,3.94906e-18
2012-02-08,SPY,0.012249,6.5102076e-18
2012-02-09,SPY,0.003277,2.7755576e-17
2012-02-10,SPY,-0.00245,3.3322497e-18
2012-02-13,SPY,-0.023186,0.0
2012-02-14,SPY,0.014776,0.0
2012-02-15,SPY,-0.014612,0.0
2012-02-16,SPY,-0.006254,7.716386e-20
2012-02-17,SPY,0.008693,0.0
2012-02-21,SPY,0.004438,1.5246128e-18
2012-02-22,SPY,0.010309,0.0
2012-02-23,SPY,0.000634,0.0
2012-02-24,SPY,0.004054,0.0
2012-02-27,SPY,-0.001766,0.0
2012-02-28,SPY,0.006699,2.7428386e-19
2012-02-29,SPY,0.002385,0.0
2012-03-01,SPY,-0.008767,2.5295888e-17
2012-03-02,SPY,0.009287,2.94903e-17
2012-03-05,SPY,0.010128,1.9894324e-17
2012-03-06,SPY,0.002553,1.110223e-16
2012-03-07,SPY,0.005068,1.179612e-16
2012-03-08,SPY,0.004552,2.2654872e-17
2012-03-09,SPY,-0.00281,0.0
2012-03-12,SPY,0.003248,0.0
2012-03-13,SPY,0.000795,0.0
2012-03-14,SPY,0.010334,0.0
2012-03-15,SPY,0.005356,0.0
2012-03-16,SPY,-0.004665,0.0
2012-03-19,SPY,0.009677,0.0
2012-03-20,SPY,-6e-05,1.0785208e-32
2012-03-21,SPY,0.001438,3.4314378e-18
2012-03-22,SPY,-0.007418,0.26653594
2012-03-23,SPY,-0.002893,4.1828786e-18
