date,ticker,returns,weights
<<<<<<< HEAD
2007-01-04,SPY,-0.002787,0.0
2007-01-05,SPY,0.012055,4.4927277e-11
2007-01-08,SPY,0.005492,0.0
2007-01-09,SPY,0.016457,0.0
2007-01-10,SPY,-0.000768,5.866032e-14
2007-01-11,SPY,0.001467,1.6653345e-14
2007-01-12,SPY,-0.001325,2.942091e-15
2007-01-16,SPY,-0.002374,0.0
2007-01-17,SPY,-0.00728,3.5678065e-16
2007-01-18,SPY,0.001058,0.0
2007-01-19,SPY,0.000211,1.0
2007-01-22,SPY,0.001127,0.0
2007-01-23,SPY,0.010763,2.6367797e-16
2007-01-24,SPY,0.001114,1.4988011e-15
2007-01-25,SPY,0.002711,7.621091e-12
2007-01-26,SPY,0.001387,1.6653345e-16
2007-01-29,SPY,0.001177,0.0
2007-01-30,SPY,-0.00408,2.0816682e-16
2007-01-31,SPY,0.004444,1.0
2007-02-01,SPY,0.004562,0.0
2007-02-02,SPY,0.009496,0.0
2007-02-05,SPY,0.002658,0.0
2007-02-06,SPY,0.001224,0.0
2007-02-07,SPY,-0.000272,7.642374e-10
2007-02-08,SPY,0.009441,0.0
2007-02-09,SPY,-0.003768,0.0
2007-02-12,SPY,0.000405,5.689893e-16
2007-02-13,SPY,0.009182,1.0
2007-02-14,SPY,0.001137,0.0
2007-02-15,SPY,-0.000802,0.0
2007-02-16,SPY,-0.008293,1.0
2007-02-20,SPY,0.002563,0.0
2007-02-21,SPY,0.005852,1.0
2007-02-22,SPY,0.005417,0.0
2007-02-23,SPY,0.003791,0.0
2007-02-26,SPY,0.000199,3.4174052e-16
2007-02-27,SPY,-0.001325,0.0
2007-02-28,SPY,0.00272,2.033096e-15
2007-03-01,SPY,-0.010453,1.0
2007-03-02,SPY,0.008557,1.411371e-14
2007-03-05,SPY,-0.002187,1.0
2007-03-06,SPY,0.000266,1.01267605e-11
2007-03-07,SPY,0.006841,3.8441472e-15
2007-03-08,SPY,-0.001979,0.0
2007-03-09,SPY,0.008724,3.4139358e-15
2007-03-12,SPY,-0.000524,1.0
2007-03-13,SPY,-0.000787,2.509635e-16
2007-03-14,SPY,0.000131,1.0
2007-03-15,SPY,-0.009053,1.0
2007-03-16,SPY,0.004171,0.0
2007-03-19,SPY,0.003626,1.0
2007-03-20,SPY,0.008145,0.0
2007-03-21,SPY,-0.001042,1.0
2007-03-22,SPY,0.004957,0.0
2007-03-23,SPY,0.00013,0.0
2007-03-26,SPY,-0.003958,0.0
2007-03-27,SPY,-0.01075,0.0
2007-03-28,SPY,-0.018045,1.2409605e-10
2007-03-29,SPY,0.013011,3.663736e-15
2007-03-30,SPY,0.001721,0.0
2007-04-02,SPY,-0.010906,1.1957152e-12
2007-04-03,SPY,0.014968,5.3151927e-15
2007-04-04,SPY,0.006386,0.0
2007-04-05,SPY,0.005663,1.0
2007-04-09,SPY,-0.001176,4.440892e-16
2007-04-10,SPY,0.002485,0.0
2007-04-11,SPY,-0.013897,0.0
2007-04-12,SPY,0.005558,1.0
2007-04-13,SPY,-0.009409,1.7957857e-14
2007-04-16,SPY,-0.004782,0.0
2007-04-17,SPY,-0.010278,3.6776138e-16
2007-04-18,SPY,0.014229,1.0
2007-04-19,SPY,-0.000133,1.0
2007-04-20,SPY,0.000332,0.0
2007-04-23,SPY,0.009041,5.3210214e-13
2007-04-24,SPY,0.003623,3.1225023e-15
2007-04-25,SPY,-0.00105,0.0
2007-04-26,SPY,0.005257,9.5062846e-14
2007-04-27,SPY,0.000131,0.0
2007-04-30,SPY,-0.013595,2.9587444e-14
2007-05-01,SPY,0.00709,0.0
2007-05-02,SPY,0.01579,4.808792e-13
2007-05-03,SPY,0.00298,1.4571677e-15
2007-05-04,SPY,-0.000129,0.0
2007-05-07,SPY,-0.000517,1.5520918e-13
2007-05-08,SPY,-0.001809,0.0
2007-05-09,SPY,0.003884,5.4123372e-15
2007-05-10,SPY,-0.010125,0.0
2007-05-11,SPY,0.003062,1.4957611e-15
2007-05-14,SPY,-0.017341,9.2814645e-14
2007-05-15,SPY,0.002049,0.0
2007-05-16,SPY,-0.023679,3.601796e-17
2007-05-17,SPY,-0.01966,0.0
2007-05-18,SPY,0.015643,5.809822e-11
2007-05-21,SPY,-0.011263,5.2053917e-12
2007-05-22,SPY,0.004872,0.0
2007-05-23,SPY,0.00799,1.0
2007-05-24,SPY,-0.025745,0.0
2007-05-25,SPY,0.016759,0.0
2007-05-29,SPY,0.01067,1.0
2007-05-30,SPY,0.013941,1.0
