date,ticker,returns,weights
2010-01-04,SPY,-0.016673,1.3067967e-11
2010-01-05,SPY,0.002139,0.0
2010-01-06,SPY,0.017224,3.4972025e-15
2010-01-07,SPY,-0.007492,0.0
2010-01-08,SPY,-0.007851,7.8582973e-16
2010-01-11,SPY,0.00875,0.0
2010-01-12,SPY,-0.001433,0.0
2010-01-13,SPY,-0.018525,1.1657342e-15
2010-01-14,SPY,0.006946,0.0
2010-01-15,SPY,-0.006038,1.2130921e-14
2010-01-19,SPY,-0.011457,1.6062873e-11
2010-01-20,SPY,-0.018552,1.0
2010-01-21,SPY,0.013275,0.5425394
2010-01-22,SPY,0.003624,5.551115e-17
2010-01-25,SPY,0.015498,3.4416914e-15
2010-01-26,SPY,-0.003469,1.0
2010-01-27,SPY,0.002862,0.0
2010-01-28,SPY,0.009563,0.0
2010-01-29,SPY,0.003056,1.0
2010-02-01,SPY,-0.002437,5.2735594e-16
2010-02-02,SPY,0.006719,0.0
2010-02-03,SPY,0.006901,5.551115e-16
2010-02-04,SPY,-0.001356,3.1225023e-16
2010-02-05,SPY,0.004224,1.0
2010-02-08,SPY,0.000826,4.0745185e-14
2010-02-09,SPY,-0.00015,2.041145e-13
2010-02-10,SPY,0.003152,2.3765712e-16
2010-02-11,SPY,-0.002544,0.0
2010-02-12,SPY,-0.00345,0.5501687
2010-02-16,SPY,-0.003011,0.0
2010-02-17,SPY,-0.007474,1.0
2010-02-18,SPY,-7.6e-05,0.0
2010-02-19,SPY,0.000761,3.670675e-15
2010-02-22,SPY,0.003648,1.0
2010-02-23,SPY,-0.011209,0.0
2010-02-24,SPY,0.005744,1.9984014e-15
2010-02-25,SPY,0.013632,1.0
2010-02-26,SPY,0.005109,1.0
2010-03-01,SPY,-0.001046,2.4222914e-13
2010-03-02,SPY,0.008613,1.0
2010-03-03,SPY,0.006521,1.0
2010-03-04,SPY,0.003243,1.0
2010-03-05,SPY,0.002351,1.0
2010-03-08,SPY,-0.001539,7.80348e-14
2010-03-09,SPY,-0.003597,0.56753194
2010-03-10,SPY,-0.006631,0.0
2010-03-11,SPY,-0.009048,1.0
2010-03-12,SPY,0.004416,2.220446e-15
