date,ticker,returns,weights
2019-01-01,WHR,0.0,0.0031382742
2019-01-02,WHR,0.009825,0.0027859877
2019-01-03,WHR,-0.003336,0.0029902637
2019-01-04,WHR,0.048903,0.0026212553
2019-01-07,WHR,0.029162,0.0025714445
2019-01-08,WHR,0.022479,0.0025711604
2019-01-09,WHR,0.023332,0.0018059271
2019-01-10,WHR,0.008396,0.0017396599
2019-01-11,WHR,0.004734,0.0016678956
2019-01-14,WHR,0.006824,0.0017397747
2019-01-15,WHR,-0.000646,0.0018248021
2019-01-16,WHR,-0.00541,0.0018547144
2019-01-17,WHR,0.018997,0.0010681523
2019-01-18,WHR,0.012269,0.0013446099
2019-01-21,WHR,0.0,0.0012205555
2019-01-22,WHR,-0.006611,0.0013170465
2019-01-23,WHR,-0.050626,0.00146461
2019-01-24,WHR,0.02562,0.000921349
2019-01-25,WHR,0.017657,0.00064877234
2019-01-28,WHR,-0.004877,8.600716e-05
2019-01-29,WHR,0.096658,0.0009461786
2019-01-30,WHR,-0.031797,0.0010335094
2019-01-31,WHR,0.006508,-0.0018794396
2019-02-01,WHR,-0.00015,-0.00208061
2019-02-04,WHR,0.018874,-0.0020756493
2019-02-05,WHR,-0.000221,-0.0022318999
2019-02-06,WHR,-0.008563,-0.0028376128
2019-02-07,WHR,-0.001638,-0.002921967
2019-02-08,WHR,-0.005966,-0.0025802301
2019-02-11,WHR,-0.002851,-0.0026637658
2019-02-12,WHR,0.026559,-0.0016565836
2019-02-13,WHR,0.011067,-0.0016030163
2019-02-14,WHR,-0.002755,-0.001876903
2019-02-15,WHR,0.013012,-0.0018908643
2019-02-18,WHR,0.0,-0.001993529
2019-02-19,WHR,0.015715,-0.0015832222
2019-02-20,WHR,0.008124,-0.0015601486
2019-02-21,WHR,0.000701,-0.0017295463
2019-02-22,WHR,0.019468,-0.0019449702
2019-02-25,WHR,-0.006251,-0.0020475488
2019-02-26,WHR,-0.009608,-0.0016440153
2019-02-27,WHR,-0.002373,-0.0012939351
2019-02-28,WHR,-0.001959,-0.0011334502
2019-03-01,WHR,-0.001413,-0.0009400963
2019-03-04,WHR,0.011606,-0.0008917415
2019-03-05,WHR,-0.007275,-0.0008387624
2019-03-06,WHR,-0.02114,-0.00070882123
2019-03-07,WHR,-0.010438,-0.000652394
2019-03-08,WHR,0.000655,-0.00028843668
2019-03-11,WHR,-0.006907,-0.00021658135
2019-03-12,WHR,0.032284,-0.0005066645
2019-03-13,WHR,0.000638,-0.0009529568
2019-03-14,WHR,-0.0073,-0.0010678538
2019-03-15,WHR,-0.04919,-0.0010916197
2019-03-18,WHR,0.000976,-0.0011701119
2019-03-19,WHR,-0.008251,-0.0011170532
2019-03-20,WHR,-0.012934,-0.00091371196
2019-03-21,WHR,0.026897,-0.001108946
2019-03-22,WHR,-0.037087,-0.00080975203
2019-03-25,WHR,0.000233,-0.00073246664
2019-03-26,WHR,0.014566,-0.0008433792
2019-03-27,WHR,0.006338,-0.0008176714
2019-03-28,WHR,0.002049,-0.000929899
2019-03-29,WHR,0.006361,-0.0010403063
2019-04-01,WHR,0.01189,-0.0012154654
2019-04-02,WHR,0.000892,-0.0013594725
2019-04-03,WHR,-0.013522,-0.0014647924
2019-04-04,WHR,0.012804,-0.0010563132
2019-04-05,WHR,0.012196,-0.00048139927
2019-04-08,WHR,0.012931,-0.00062437746
2019-04-09,WHR,-0.022412,-0.00040224445
2019-04-10,WHR,0.016694,-0.0006139906
2019-04-11,WHR,0.019631,-0.00077921804
2019-04-12,WHR,0.001145,-0.0006474801
2019-04-15,WHR,-0.025093,-0.0012943714
2019-04-16,WHR,0.007186,-0.0013542777
2019-04-17,WHR,-0.003422,-0.0015181125
2019-04-18,WHR,0.015926,-0.0015219396
2019-04-19,WHR,0.0,-0.0009753981
2019-04-22,WHR,0.002157,-0.0011836215
2019-04-23,WHR,0.00409,-0.0010120413
2019-04-24,WHR,-0.005145,-0.000704373
2019-04-25,WHR,-0.029955,-0.00064035767
2019-04-26,WHR,0.014959,-0.000688163
2019-04-29,WHR,0.010944,-0.0005189957
2019-04-30,WHR,0.001877,-0.00032039496
2019-05-01,WHR,0.006771,-0.0007437161
2019-05-02,WHR,0.018246,-0.0010238042
2019-05-03,WHR,0.001054,-0.0011537229
2019-05-06,WHR,-0.017408,-0.00091142784
2019-05-07,WHR,-0.015931,-0.0012303344
2019-05-08,WHR,-0.00559,-0.0015188681
2019-05-09,WHR,-0.022996,-0.001393687
2019-05-10,WHR,0.003661,-0.0015505835
2019-05-13,WHR,-0.046456,-0.0017674611
2019-05-14,WHR,0.007808,-0.0018115682
2019-05-15,WHR,0.012395,-0.0012813593
2019-05-16,WHR,0.003367,-0.0011680303
2019-05-17,WHR,-0.009929,-0.0016120799
2019-05-20,WHR,0.006919,-0.0017589317
2019-05-21,WHR,0.023008,-0.0015842149
2019-05-22,WHR,-0.011321,-0.0021331215
2019-05-23,WHR,-0.037786,-0.001903794
2019-05-24,WHR,-0.009203,-0.0019644038
2019-05-27,WHR,0.0,-0.0017147857
2019-05-28,WHR,-0.019137,-0.0014301623
