date,ticker,returns,weights
2018-01-02,SPY,-0.003637,-0.5
2018-01-03,SPY,-0.00136,-0.5
2018-01-04,SPY,-0.006057,-0.5
2018-01-05,SPY,-0.008365,0.5
2018-01-08,SPY,-0.002,0.5
2018-01-09,SPY,0.014501,-0.5
2018-01-10,SPY,0.003771,-0.16975829
2018-01-11,SPY,0.006619,-0.5
2018-01-12,SPY,-0.00064,-0.5
2018-01-16,SPY,0.004919,-0.5
2018-01-17,SPY,0.003626,0.5
2018-01-18,SPY,0.000248,0.23245415
2018-01-19,SPY,-0.00301,0.5
2018-01-22,SPY,0.011295,-0.068003684
2018-01-23,SPY,-0.019246,-0.4903697
2018-01-24,SPY,-0.000752,0.09761352
2018-01-25,SPY,0.007454,0.5
2018-01-26,SPY,-0.005229,0.21029533
2018-01-29,SPY,0.00379,-0.5
2018-01-30,SPY,0.006306,-0.1622593
2018-01-31,SPY,0.011859,-0.5
2018-02-01,SPY,0.00049,-0.5
2018-02-02,SPY,0.001574,0.5
2018-02-05,SPY,0.002653,-0.21013178
2018-02-06,SPY,0.00484,-0.5
2018-02-07,SPY,0.000762,0.08633779
2018-02-08,SPY,-0.005125,-0.5
2018-02-09,SPY,0.003411,0.5
2018-02-12,SPY,-0.000278,-0.5
2018-02-13,SPY,0.006766,-0.142888
2018-02-14,SPY,-0.000655,0.5
2018-02-15,SPY,0.000655,-0.4987791
2018-02-16,SPY,-0.002447,0.5
2018-02-20,SPY,0.001969,0.5
2018-02-21,SPY,0.000862,-0.5
2018-02-22,SPY,0.008992,0.5
2018-02-23,SPY,-0.002219,-0.5
2018-02-26,SPY,-0.000616,-0.4985592
2018-02-27,SPY,0.004657,-0.49552405
2018-02-28,SPY,0.001568,-0.5
2018-03-01,SPY,0.00051,-0.5
2018-03-02,SPY,-0.007516,0.5
2018-03-05,SPY,-0.002159,-0.5
2018-03-06,SPY,0.009788,0.5
2018-03-07,SPY,-0.004115,-0.49499148
2018-03-08,SPY,-0.0167,-0.15751524
2018-03-09,SPY,-0.001389,0.5
2018-03-12,SPY,-0.003026,-0.49959087
2018-03-13,SPY,0.005023,-0.49548325
2018-03-14,SPY,-0.02513,-0.49270725
2018-03-15,SPY,0.009044,-0.49078983
2018-03-16,SPY,0.005857,0.5
2018-03-19,SPY,0.009261,0.5
2018-03-20,SPY,-0.006465,-0.1377813
2018-03-21,SPY,-0.006612,-0.5
2018-03-22,SPY,0.009016,0.5
2018-03-23,SPY,-0.003071,-0.10140373
2018-03-26,SPY,-0.012219,-0.49854755
2018-03-27,SPY,0.002268,-0.48743615
