date,ticker,returns,weights
<<<<<<< HEAD
<<<<<<< HEAD
2019-01-02,SPY,-0.00064,-0.253662
2019-01-03,SPY,0.004919,-0.5
2019-01-04,SPY,0.003626,0.11204347
2019-01-07,SPY,0.000248,0.24537148
2019-01-08,SPY,-0.00301,0.14497812
2019-01-09,SPY,0.011295,0.18769449
2019-01-10,SPY,-0.019246,0.19716845
2019-01-11,SPY,-0.000752,-0.13652205
2019-01-14,SPY,0.007454,0.08534597
2019-01-15,SPY,-0.005229,-0.1854743
2019-01-16,SPY,0.00379,0.26720917
2019-01-17,SPY,0.006306,0.29149774
2019-01-18,SPY,0.011859,-0.18662286
2019-01-22,SPY,0.00049,0.15761858
2019-01-23,SPY,0.001574,0.16252832
2019-01-24,SPY,0.002653,-0.11513886
2019-01-25,SPY,0.00484,-0.15073092
2019-01-28,SPY,0.000762,0.06300445
2019-01-29,SPY,-0.005125,0.08225482
2019-01-30,SPY,0.003411,0.16174129
2019-01-31,SPY,-0.000278,-0.06431973
2019-02-01,SPY,0.006766,-0.25790274
2019-02-04,SPY,-0.000655,-0.21169521
2019-02-05,SPY,0.000655,-0.09646425
2019-02-06,SPY,-0.002447,0.12264555
2019-02-07,SPY,0.001969,0.10416169
2019-02-08,SPY,0.000862,0.05857879
2019-02-11,SPY,0.008992,-0.3692973
2019-02-12,SPY,-0.002219,-0.13228972
2019-02-13,SPY,-0.000616,0.09092034
2019-02-14,SPY,0.004657,0.08655788
2019-02-15,SPY,0.001568,-0.23347072
2019-02-19,SPY,0.00051,0.19156812
2019-02-20,SPY,-0.007516,0.061146706
2019-02-21,SPY,-0.002159,0.12602319
2019-02-22,SPY,0.009788,0.23474441
2019-02-25,SPY,-0.004115,0.2895513
2019-02-26,SPY,-0.0167,-0.26990682
2019-02-27,SPY,-0.001389,-0.2570917
2019-02-28,SPY,-0.003026,-0.08378319
2019-03-01,SPY,0.005023,-0.39589083
2019-03-04,SPY,-0.02513,0.4657938
2019-03-05,SPY,0.009044,0.38035247
2019-03-06,SPY,0.005857,-0.30511087
2019-03-07,SPY,0.009261,-0.15095523
2019-03-08,SPY,-0.006465,0.037129935
2019-03-11,SPY,-0.006612,-0.37724614
2019-03-12,SPY,0.009016,-0.26454353
2019-03-13,SPY,-0.003071,0.03532559
2019-03-14,SPY,-0.012219,-0.20684126
