date,ticker,returns,weights
2020-01-02,SPY,0.02424,0.47055915
2020-01-03,SPY,-0.007803,0.10857354
2020-01-06,SPY,-0.013246,-0.49169835
2020-01-07,SPY,-0.012375,-0.49051476
2020-01-08,SPY,0.018397,0.48286834
2020-01-09,SPY,-0.004979,-0.48916924
2020-01-10,SPY,0.014278,-0.4877707
2020-01-13,SPY,0.006225,-0.5
2020-01-14,SPY,0.010139,-0.49281266
2020-01-15,SPY,0.001347,0.4842536
2020-01-16,SPY,0.005964,0.4753478
2020-01-17,SPY,-0.001261,-0.13103074
2020-01-21,SPY,0.00341,0.48002744
2020-01-22,SPY,-0.01455,0.49269828
2020-01-23,SPY,-0.001845,-0.403824
2020-01-24,SPY,0.007985,0.46142104
2020-01-27,SPY,-0.007871,-0.22120701
2020-01-28,SPY,-0.005083,-0.19222611
2020-01-29,SPY,0.005626,0.48322594
2020-01-30,SPY,0.016115,-0.5
2020-01-31,SPY,-0.000505,-0.026435044
2020-02-03,SPY,-0.002653,-0.5
2020-02-04,SPY,0.004053,0.48261607
2020-02-05,SPY,0.010799,-0.4979536
2020-02-06,SPY,0.014353,-0.091064356
2020-02-07,SPY,-0.000591,-0.5
2020-02-10,SPY,0.001157,0.5
2020-02-11,SPY,0.004747,-0.5
2020-02-12,SPY,0.00727,0.49339718
2020-02-13,SPY,0.000365,-0.5
2020-02-14,SPY,0.002964,0.5
2020-02-18,SPY,-0.003415,0.41516307
2020-02-19,SPY,0.010742,-0.5
2020-02-20,SPY,0.003342,0.2602108
2020-02-21,SPY,-0.004913,-0.5
2020-02-24,SPY,-0.007322,-0.5
2020-02-25,SPY,0.009462,-0.5
2020-02-26,SPY,-0.009133,-0.49555284
2020-02-27,SPY,0.010842,0.14671268
2020-02-28,SPY,0.002088,0.19244441
2020-03-02,SPY,-0.000216,-0.5
2020-03-03,SPY,-0.000287,-0.5
2020-03-04,SPY,0.006373,-0.18157414
2020-03-05,SPY,-0.006571,-0.46842104
2020-03-06,SPY,0.002157,0.49539357
2020-03-09,SPY,-0.006169,-0.5
2020-03-10,SPY,0.000313,-0.5
2020-03-11,SPY,0.007986,-0.5
2020-03-12,SPY,0.007278,-0.5
2020-03-13,SPY,-0.009902,-0.49937174
2020-03-16,SPY,-0.008925,0.5
2020-03-17,SPY,-0.021245,-0.5
2020-03-18,SPY,0.012013,-0.49196348
2020-03-19,SPY,0.015355,0.4966756
2020-03-20,SPY,-0.002545,-0.5
2020-03-23,SPY,-0.008616,0.49952945
2020-03-24,SPY,-0.002622,0.5
2020-03-25,SPY,0.010758,-0.49981445
2020-03-26,SPY,-0.000819,-0.49862462
2020-03-27,SPY,0.010194,-0.5
2020-03-30,SPY,-0.002219,-0.5
2020-03-31,SPY,0.001985,0.48950446
2020-04-01,SPY,0.000525,0.49281043
2020-04-02,SPY,0.001789,0.48434335
2020-04-03,SPY,-0.000881,-0.10457447
2020-04-06,SPY,0.001573,-0.1276611
2020-04-07,SPY,-0.003711,-0.5
2020-04-08,SPY,0.009146,-0.5
2020-04-09,SPY,-0.00097,-0.5
2020-04-13,SPY,0.000213,-0.49597675
2020-04-14,SPY,-0.001492,-0.5
2020-04-15,SPY,0.004648,-0.49499288
2020-04-16,SPY,0.001652,-0.48062736
2020-04-17,SPY,0.002239,-0.5
2020-04-20,SPY,-0.001834,0.09856281
2020-04-21,SPY,-0.005583,-0.5
2020-04-22,SPY,-0.000332,0.08103199
2020-04-23,SPY,-0.013447,-0.5
2020-04-24,SPY,0.014316,-0.46430942
2020-04-27,SPY,0.005346,-0.082991235
2020-04-28,SPY,-0.001205,0.5
2020-04-29,SPY,0.005916,-0.5
2020-04-30,SPY,0.003552,-0.49400237
2020-05-01,SPY,0.002016,0.48461056
2020-05-04,SPY,0.000538,-0.5
2020-05-05,SPY,0.000842,0.5
2020-05-06,SPY,0.005537,0.49659866
2020-05-07,SPY,0.007644,-0.49804708
2020-05-08,SPY,-0.001821,0.49391538
2020-05-11,SPY,0.003534,-0.48282593
2020-05-12,SPY,-0.008148,0.49558797
2020-05-13,SPY,0.010675,-0.5
2020-05-14,SPY,0.003582,-0.49013495
2020-05-15,SPY,-0.003409,0.4213863
2020-05-18,SPY,0.001492,-0.5
2020-05-19,SPY,-0.003416,-0.49147475
2020-05-20,SPY,-0.007844,-0.5
2020-05-21,SPY,-0.014768,0.48786664
2020-05-22,SPY,0.01433,0.47398472
2020-05-26,SPY,0.008096,-0.035906393
2020-05-27,SPY,0.002094,0.4574
2020-05-28,SPY,0.010288,-0.49441904
2020-05-29,SPY,0.002455,-0.5
2020-06-01,SPY,-0.004558,-0.5
2020-06-02,SPY,-0.00041,0.46348396
2020-06-03,SPY,0.004147,-0.5
2020-06-04,SPY,-0.004856,-0.49382284
