"","ticker","OPCL","pvCLCL","volMM","ret_1_RR","ret_1_MR","ret_5_RR","ret_5_MR"
"1","SPY",0.003466,0.007157,23290.5,0.000138,0,0.000314,0
"2","IWM",0.004559,0.009445,3153.4,0.00032,0.000261,0.000668,0.000498
"3","EEM",0.004802,0.018888,3311.2,0.000201,0.000191,0.000393,0.000375
"4","TLT",-0.007937,-0.010799,2037.7,0.000225,0.000286,0.000533,0.00065
"5","USO",0,0.004996,144.6,0.000408,0.000421,0.000883,0.000985
"6","GLD",0.003923,0.012131,1472.1,0.00015,0.000222,0.000293,0.000483
"7","XLF",-0.00607,0.000358,1547.8,0.000293,0.00025,0.000648,0.000506
"8","XLB",0.008835,0.014208,551.2,0.000219,0.000183,0.000473,0.000417
"9","XLK",0.00822,0.012353,888.4,0.000207,0.000161,0.000532,0.000387
"10","XLV",0.007443,0.011248,560.9,0.000224,0.00017,0.000503,0.000364
"11","XLI",0.002631,0.005947,1134.5,0.000256,0.000204,0.000624,0.000514
"12","XLU",-0.009155,-0.009301,640.4,0.000349,0.000329,0.000865,0.000831
"13","XLY",0.010838,0.015199,490.5,0.000172,0.000144,0.000373,0.00026
"14","XLP",-0.007225,-0.006152,1139.1,0.000287,0.000257,0.000501,0.000512
"15","XLE",0.011365,0.016468,1093.8,0.000281,0.000289,0.000579,0.000619
"16","AAP",0.050158,0.064199,278.4,0.001275,0.001275,0.002494,0.002479
"17","ABBV",0.012989,0.017578,448.9,0.000662,0.000642,0.001404,0.001329
"18","ABC",0.020303,0.024178,107,0.000639,0.000617,0.001158,0.001062
"19","ABT",0.010086,0.030138,594.6,0.000557,0.000563,0.001193,0.001206
"20","ACN",0.002213,0.004899,471,0.000493,0.000481,0.000926,0.000899
"21","ADM",-0.00274,0.000249,147.2,0.000557,0.000549,0.001162,0.001197
"22","ADS",0.004082,0.007298,153.1,0.000795,0.000787,0.001416,0.001341
"23","AEE",-0.010054,-0.010171,76.7,0.000517,0.000512,0.001119,0.001102
"24","AEP",-0.010578,-0.015767,218.5,0.00044,0.000427,0.000933,0.000904
"25","AES",0.00092,0.004617,49.7,0.000675,0.000669,0.001513,0.001457
"26","AGN",0.037508,0.041203,538.5,0.000711,0.000699,0.00151,0.001506
"27","AIG",-0.008368,-0.001343,224.3,0.000503,0.000466,0.001159,0.001047
"28","AJG",-0.021954,-0.017541,49.1,0.000512,0.00048,0.001023,0.000947
"29","ALB",0.019965,0.028462,147.1,0.000693,0.000676,0.001407,0.001322
"30","ALK",0.013016,0.020405,130.4,0.000714,0.000709,0.001194,0.001143
"31","ALL",-0.020876,-0.026645,488.1,0.00059,0.000584,0.001277,0.001247
"32","AMP",-0.004287,0.002596,138,0.000529,0.00049,0.001059,0.000938
"33","AMT",-0.014281,-0.010794,265.5,0.000663,0.000643,0.001215,0.001188
"34","ANET",-0.019503,-0.019314,201.5,0.00154,0.001525,0.002667,0.002608
"35","ANTM",0.004435,0.0044,291.9,0.000655,0.000632,0.001208,0.001111
"36","AON",-0.020773,-0.018731,115.5,0.000418,0.000406,0.00089,0.000866
"37","APA",0.037957,0.049266,177.4,0.000949,0.000942,0.001942,0.001954
"38","APH",-0.007602,0,107.8,0.000491,0.000484,0.000923,0.000831
"39","ARNC",0.016343,0.018716,83.2,0.000642,0.000626,0.001179,0.001073
"40","ATO",-0.010411,-0.009896,56.9,0.000511,0.00051,0.001008,0.000949
"41","AXP",-0.007953,-0.003726,271.8,0.00036,0.000328,9e-04,0.000758
"42","BA",0.003679,0.006544,884.3,0.000299,0.00029,0.000687,0.00066
"43","BAC",0.005029,0.012873,1707.9,0.000368,0.000338,0.000814,0.000739
"44","BAX",0.016209,0.03914,374.2,0.000736,0.000734,0.001565,0.001525
"45","BBY",0.013099,0.010077,255.4,0.000557,0.000551,0.001208,0.001161
"46","BDX",0.012704,0.017659,585.8,0.000698,0.000706,0.001288,0.001298
"47","BEN",-0.011951,-0.001846,102.9,0.000422,0.000371,0.001019,0.000869
"48","BK",-0.008326,-0.000743,195.5,0.000375,0.000329,0.000807,0.000697
"49","BLK",-0.019091,-0.009227,268.3,0.000688,0.000666,0.001182,0.001119
"50","BLL",0.01329,0.020608,110.2,0.000546,0.000544,0.001098,0.001103
"51","BMY",-0.001467,0.00049,396.8,0.000471,0.000437,0.000995,0.000914
"52","BSX",0.013541,0.019766,252.3,0.000602,0.00059,0.001358,0.001302
"53","BWA",0.007755,0.013506,61.5,0.000581,0.000539,0.001047,0.000939
"54","BXP",-0.008549,-0.005768,89.2,0.000594,0.000597,0.00106,0.001014
"55","CAG",-0.004255,-0.003982,95.5,0.000464,0.000462,0.001075,0.001049
"56","CAH",0.024495,0.03199,152.4,0.00073,0.000706,0.001415,0.001297
"57","CAT",-0.007991,-0.003427,802.2,0.000534,0.000518,0.001246,0.001197
"58","CCI",-0.014582,-0.018737,221.8,0.000531,0.000516,0.001119,0.001071
"59","CCL",-0.007017,0.005725,185.8,0.000468,0.00044,0.000929,0.000866
"60","CF",0.006512,0.014104,100.5,0.000883,0.000861,0.001827,0.001825
"61","CFG",0.007762,0.016675,216.5,0.000611,0.000571,0.001187,0.001068
"62","CHD",-0.012864,-0.01475,244.3,0.00053,0.000503,0.001035,0.001018
"63","CI",-0.00777,-0.00261,226,0.000497,0.000473,0.000962,0.000872
"64","CL",-0.003852,-0.004109,327,0.000514,0.000495,0.00101,0.001059
"65","CLX",-0.025871,-0.025212,125.8,0.000738,0.000714,0.001032,0.001027
"66","CMA",-0.009084,-0.002765,91.2,0.000595,0.000556,0.001103,0.001008
"67","CMG",0.007022,0.013563,428.9,0.00082,0.000823,0.001349,0.001362
"68","CMI",-0.002538,0.002378,185.5,0.000548,0.000528,0.001095,0.00102
"69","CMS",-0.009328,-0.0074,79.3,0.000399,0.00039,0.000881,0.000846
"70","CNC",0.018595,0.016951,114.9,0.001058,0.001021,0.001752,0.001593
"71","CNP",-0.013118,-0.011989,71.6,0.000445,0.000431,0.001069,0.001031
"72","COF",-0.004707,0.000301,165.7,0.000518,0.000456,0.001097,0.000935
"73","COG",0.020626,0.010489,151.6,0.000767,0.000769,0.001743,0.001766
